variable_id,output_frequency,shape,priority,dimension
fgco2_glob,monthly,T,1,2D
fgco2_reg,monthly,iT,1,2D
fgco2,monthly,XYT,1,2D
spco2,monthly,XYT,1,2D
fice,monthly,XYT,1,2D
intpp,monthly,XYT,1,2D
epc100,monthly,XYT,1,2D
epc1000,monthly,XYT,2,2D
epc100type / epc1000type,monthly,XYT,2,2D
epcalc100,monthly,XYT,1,2D
Kw,monthly,XYT,2,2D
pco2atm,monthly,XYT,2,2D
alpha,monthly,XYT,3,2D
tos,monthly,XYT,1,2D
sos,monthly,XYT,1,2D
dissicos,monthly,XYT,1,2D
talkos,monthly,XYT,1,2D
no3os,monthly,XYT,2,2D
po4os,monthly,XYT,2,2D
sios,monthly,XYT,2,2D
dfeos,monthly,XYT,2,2D
o2os,monthly,XYT,2,2D
intphyc,monthly,XYT,1,2D
intphynd,monthly,XYT,2,2D
intdiac,monthly,XYT,2,2D
intzooc,monthly,XYT,1,2D
chlos,monthly,XYT,1,2D
mld,monthly,XYT,1,2D
zeu,monthly,XYT,1,2D
dissic,annual,XYZT,1,3D
talk,annual,XYZT,1,3D
thetao,annual,XYZT,1,3D
so,annual,XYZT,1,3D
epc,annual,XYZT,1,3D
no3,annual,XYZT,2,3D
po4,annual,XYZT,2,3D
si,annual,XYZT,2,3D
o2,annual,XYZT,2,3D